DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	AD_skin_only	AD_nose_only	AD_shared

DATA
g__Faecalibacterium_ASV-7	#e7b9d8	AD_shared
g__Capnocytophaga_820688_ASV-2	#e7b9d8	AD_shared
g__Streptococcus_ASV-3	#e7b9d8	AD_shared
g__Anaerostipes_ASV-1	#e7b9d8	AD_shared
g__Megasphaera_A_38692_ASV-1	#e7b9d8	AD_shared
g__Acinetobacter_ASV-6	#e7b9d8	AD_shared
g___ASV-49	#e7b9d8	AD_shared
g__Selenomonas_B_42762_ASV-1	#e7b9d8	AD_shared
g__Prevotella_ASV-28	#e7b9d8	AD_shared
g__Abiotrophia_ASV-2	#e7b9d8	AD_shared
g__Prevotella_ASV-24	#e7b9d8	AD_shared
g___ASV-111	#e7b9d8	AD_shared
g__Rothia_ASV-5	#e7b9d8	AD_shared
g__Haemophilus_A_ASV-2	#e7b9d8	AD_shared
g__Carnobacterium_A_320743_ASV-1	#e7b9d8	AD_shared
g__Comamonas_F_589250_ASV-2	#e7b9d8	AD_shared
g__Paracoccus_ASV-8	#e7b9d8	AD_shared
g___ASV-74	#e7b9d8	AD_shared
g__Campylobacter_A_ASV-3	#e7b9d8	AD_shared
g__Pleomorphomonas_ASV-2	#e7b9d8	AD_shared
g__Lagierella_ASV-1	#e7b9d8	AD_shared
g__Rothia_ASV-6	#e7b9d8	AD_shared
g__Fusobacterium_C_ASV-2	#e7b9d8	AD_shared
g___ASV-127	#e7b9d8	AD_shared
g__Dorea_A_ASV-1	#e7b9d8	AD_shared
g__Acinetobacter_ASV-21	#e7b9d8	AD_shared
g__Pseudomonas_E_647464_ASV-3	#e7b9d8	AD_shared
g___ASV-8	#e7b9d8	AD_shared
g__Cutibacterium_ASV-5	#e7b9d8	AD_shared
g__Faecalibacterium_ASV-6	#e7b9d8	AD_shared
g__Peptoanaerobacter_ASV-1	#e7b9d8	AD_shared
g__Nocardioides_A_392796_ASV-3	#e7b9d8	AD_shared
g__Pseudomonas_E_647464_ASV-5	#e7b9d8	AD_shared
g__Deinococcus_B_ASV-1	#e7b9d8	AD_shared
g__Brevibacterium_ASV-2	#e7b9d8	AD_shared
g__Cutibacterium_ASV-2	#e7b9d8	AD_shared
g__Rhodoferax_A_585629_ASV-2	#e7b9d8	AD_shared
