DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	H_skin_only	H_nose_only	H_shared

DATA
g__Streptococcus_ASV-10	#947fff	H_skin_only
g__Cutibacterium_ASV-3	#947fff	H_skin_only
g__Helcococcus_ASV-1	#947fff	H_skin_only
g___ASV-93	#947fff	H_skin_only
g__Anaerobutyricum_ASV-2	#947fff	H_skin_only
g__Acinetobacter_ASV-15	#947fff	H_skin_only
g___ASV-36	#947fff	H_skin_only
g__Solirubrobacter_ASV-3	#947fff	H_skin_only
g___ASV-124	#947fff	H_skin_only
g__Sphingomonas_L_486704_ASV-10	#947fff	H_skin_only
g___ASV-48	#947fff	H_skin_only
g__Pseudomonas_E_647464_ASV-1	#947fff	H_skin_only
g__Staphylococcus_ASV-6	#947fff	H_skin_only
g__Campylobacter_A_ASV-2	#947fff	H_skin_only
g__Blautia_A_141781_ASV-5	#947fff	H_skin_only
g__Rubellimicrobium_ASV-2	#947fff	H_skin_only
g__Rubellimicrobium_ASV-1	#947fff	H_skin_only
g__Aeromonas_ASV-2	#947fff	H_skin_only
g__Lactobacillus_ASV-6	#947fff	H_skin_only
g__Acinetobacter_ASV-19	#947fff	H_skin_only
g__Prevotella_ASV-35	#947fff	H_skin_only
g___ASV-41	#947fff	H_skin_only
g___ASV-43	#947fff	H_skin_only
g__Paratractidigestivibacter_ASV-1	#947fff	H_skin_only
g___ASV-131	#947fff	H_skin_only
g__Skermanella_ASV-2	#947fff	H_skin_only
g__Peptoniphilus_A_ASV-4	#947fff	H_skin_only
g__Massilia_ASV-6	#947fff	H_skin_only
g__Rhodococcus_B_ASV-1	#947fff	H_skin_only
g__Brevundimonas_ASV-7	#947fff	H_skin_only
g__Sphingobacterium_ASV-2	#947fff	H_skin_only
g__Stenotrophomonas_A_615274_ASV-2	#947fff	H_skin_only
g__Gemmiger_A_73129_ASV-1	#947fff	H_skin_only
g__Roseburia_ASV-2	#947fff	H_skin_only
g__Haemophilus_D_735815_ASV-3	#947fff	H_skin_only
g__Luteimonas_C_615545_ASV-1	#947fff	H_skin_only
g___ASV-106	#947fff	H_skin_only
g__Parabacteroides_B_862066_ASV-1	#947fff	H_skin_only
g__Pseudomonas_B_650451_ASV-1	#947fff	H_skin_only
g__Yimella_ASV-1	#947fff	H_skin_only
g___ASV-150	#947fff	H_skin_only
g__Mycobacterium_ASV-2	#947fff	H_skin_only
g__Corynebacterium_ASV-23	#947fff	H_skin_only
g__Dialister_ASV-5	#947fff	H_skin_only
g__Anaerococcus_ASV-2	#947fff	H_skin_only
g__Fannyhessea_ASV-2	#947fff	H_skin_only
g___ASV-143	#947fff	H_skin_only
g__Streptococcus_ASV-4	#947fff	H_skin_only
g__Gallicola_ASV-1	#947fff	H_skin_only
g__Ezakiella_ASV-1	#947fff	H_skin_only
g__Chryseobacterium_796614_ASV-3	#947fff	H_skin_only
g__Sphingobacterium_ASV-3	#947fff	H_skin_only
g___ASV-64	#947fff	H_skin_only
g__Blautia_A_141781_ASV-6	#947fff	H_skin_only
g__Dysosmobacter_ASV-1	#947fff	H_skin_only
g__Nocardioides_A_392796_ASV-4	#947fff	H_skin_only
g__Corynebacterium_ASV-18	#947fff	H_skin_only
g___ASV-122	#947fff	H_skin_only
g__Gaiella_ASV-1	#947fff	H_skin_only
g__KBS-96_ASV-1	#947fff	H_skin_only
g___ASV-68	#947fff	H_skin_only
g__Peptostreptococcus_ASV-2	#947fff	H_skin_only
g__Nocardioides_A_392796_ASV-7	#947fff	H_skin_only
g__Terrisporobacter_ASV-2	#947fff	H_skin_only
g__Corynebacterium_ASV-24	#947fff	H_skin_only
g__Roseomonas_A_507160_ASV-1	#947fff	H_skin_only
g__Fenollaria_ASV-2	#947fff	H_skin_only
g__Lancefieldella_ASV-1	#947fff	H_skin_only
g__Porphyromonas_A_859426_ASV-1	#947fff	H_skin_only
g___ASV-156	#947fff	H_skin_only
g__Intestinibacter_ASV-1	#947fff	H_skin_only
g__Akkermansia_ASV-1	#947fff	H_skin_only
g__Streptococcus_ASV-9	#947fff	H_skin_only
g__Acinetobacter_ASV-22	#947fff	H_skin_only
g__Collinsella_ASV-2	#947fff	H_skin_only
g__Sphingomicrobium_483265_ASV-4	#947fff	H_skin_only
g__Gemmiger_A_73129_ASV-4	#947fff	H_skin_only
g__Comamonas_F_589250_ASV-3	#947fff	H_skin_only
g__Acinetobacter_ASV-20	#947fff	H_skin_only
g__Oribacterium_ASV-1	#947fff	H_skin_only
g__Brevundimonas_ASV-3	#947fff	H_skin_only
g__Psychrobacter_ASV-2	#947fff	H_skin_only
g___ASV-91	#947fff	H_skin_only
g__Acinetobacter_ASV-8	#947fff	H_skin_only
g__Prevotella_ASV-37	#947fff	H_skin_only
g___ASV-140	#ffd17f	H_nose_only
g__Paraprevotella_ASV-1	#ffd17f	H_nose_only
g__Pauljensenia_ASV-5	#ffd17f	H_nose_only
g__Prevotella_ASV-39	#ffd17f	H_nose_only
g__Leptotrichia_A_993758_ASV-15	#ffd17f	H_nose_only
g__Veillonella_A_ASV-6	#ffd17f	H_nose_only
g__Dialister_ASV-6	#ffd17f	H_nose_only
g__Stomatobaculum_ASV-1	#ffd17f	H_nose_only
g__Segetibacter_ASV-1	#ffd17f	H_nose_only
g__Prevotella_ASV-22	#ffd17f	H_nose_only
g___ASV-121	#ffd17f	H_nose_only
g__Tannerella_ASV-1	#ffd17f	H_nose_only
g__Prevotella_ASV-38	#ffd17f	H_nose_only
g__Leptotrichia_A_993758_ASV-16	#ffd17f	H_nose_only
g__Anaerococcus_ASV-8	#ffd17f	H_nose_only
g__Prevotella_ASV-20	#ffd17f	H_nose_only
g___ASV-105	#ffd17f	H_nose_only
g___ASV-133	#ffd17f	H_nose_only
g__Streptococcus_ASV-14	#ffd17f	H_nose_only
g__Veillonella_A_ASV-9	#ffd17f	H_nose_only
g___ASV-141	#ffd17f	H_nose_only
g__Leptotrichia_A_993758_ASV-18	#ffd17f	H_nose_only
g__Prevotella_ASV-28	#ffd17f	H_nose_only
g__Corynebacterium_ASV-17	#ffd17f	H_nose_only
g__Streptococcus_ASV-13	#ffd17f	H_nose_only
g__Prevotella_ASV-40	#ffd17f	H_nose_only
g__Cloacibacterium_ASV-2	#ffd17f	H_nose_only
g__Prevotella_ASV-41	#ffd17f	H_nose_only
g__Ruminococcus_D_ASV-1	#ffd17f	H_nose_only
