Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__Enterocloster,0.0017080464020208306,0.0030778448802387167,0.002571001415657759,0.002452297565972466,0.0009299267329832234
 g__Gemmiger_A_73129,0.001091092444722154,0.0021872419299249,0.003506348136268671,0.002261560836971957,0.001174034529065125
 g__Peptostreptococcus,0.0029535427247474,0.0016982439657017337,0.0022520631890018327,0.002301283293150389,0.0006337028447350407
 g__Phocaeicola_A,0.0014111846749048028,0.002083675736701819,0.0031459039501611614,0.0022135881205892836,0.0008052388707160344
 g__Flavobacterium,0.001784700820337464,0.002371775159207835,0.0020199482601321386,0.002058808079892471,0.0013747433367046612
 g__Anaerobutyricum,0.0027020127742376,0.0025290720773599,0.0011585631137298008,0.0021298826551091,0.0008241929799216003
 g__Cloacibacterium,0.0032283208101364,0.0018007547084851621,0.001120622313420363,0.002049899277347316,0.0009218849724190168
 g__Methylobacterium,0.0025708651735670525,0.0017252324437545899,0.0016932981087012,0.0019964652420075475,0.0010758515930579977
 g__Microsaccharimonas,0.0016480621498423998,0.0011391090065191,0.0030850777506485003,0.0019574163023367,0.0008242405967632
 g__Fenollaria,0.0024756290791554,0.0017441170426382,0.001789116595649,0.0020029542391475,0.0004256766010462
 g__Oliverpabstia,0.0026042792329161,0.0019294494458666999,0.0010123238948465,0.0018486841912097776,0.0007680403288011066
 g__Arthrobacter_D,0.0017107371691779,0.0028177710557616,0.001007690922293,0.0018453997157441,0.0007591675400016
 g__Comamonas_F_589250,0.002475558168044521,0.0016849412366021106,0.0013955458251203297,0.0018520150765890836,0.0006612976239265554
 g__Leptotrichia_A_993641,0.0016730495653199057,0.0010912038137217642,0.002393131999575905,0.0017191284595392399,0.0011291327521940878
 g__Parasphingorhabdus,0.0021255340978993,0.0022304285722674,0.0012455247233211,0.0018671624644959,0.000443647711392579
 g__Bacteroides_H_857956,0.0012259849622403487,0.0025639754448748137,0.0013916931704540103,0.0017272178591896956,0.000967964276849765
 g__Lancefieldella,0.000493837077342939,0.0015746420277329787,0.0027681636489915997,0.0016122142513558,0.0009311050111888
 g__Roseburia_A_166204,0.0021538164090202355,0.0016044552546725147,0.0012078705226409,0.0016553807287778169,0.0005585968434160013
 g__Pseudomonas_B_650453,0.0011995273017453,0.001815025907616,0.0016832552247438,0.0015659361447016,0.0006675581200603716
 g__Ochrobactrum_A_499027,0.0014827604084918,0.0012313206342701001,0.0019745140872884028,0.0015628650433501209,0.0004686381527705728
 g__Centipeda,0.0008313553704932456,0.0018257402691758949,0.0016740350261715221,0.0014437102219467721,0.0008345833413651858
