Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__Anaerostipes,0.00185950817877821,0.0008402025397383,0.0010345629189180388,0.0012447578791448164,0.00044220669213344604
 g__Campylobacter_A_477346,0.0011584478879423,0.0010928970312844,0.0013443027661341,0.0011985492284535505,0.0002696668020901574
 g__Dorea_A,0.0008780164634831697,0.0014697126087167,0.0009131904474647837,0.0010869731732214998,0.0007075755964624
 g__Peptoniphilus_A,0.0012242385019755999,0.0014755113440614001,0.00057693717655,0.0010922290075289001,0.000679107307673
 g__Pseudonocardia,0.0005957550020029,0.0022113007415885,0.0002454706970746027,0.001017508813555378,0.0009560999851225497
 g__Haemophilus_A,0.0017681085260864999,0.0006715489714254001,0.0008434331046608,0.0010943635340576,0.00048626124065870004
 g__UMGS1994,0.0012291901377135001,0.0015745002041426,0.000285570401901654,0.0010297535812526,0.000549142190462075
 g__Tannerella,0.0013824999456854264,0.0010955627694585,0.0004759124300791331,0.0009846583817409718,0.0007211369789618094
 g__Flavisolibacter_B,0.0005949314740533,0.0014731523602262999,0.0009783839020899,0.0010154892454565,0.0005839751561743
 g__Centipeda,0.0008366149317922314,0.0012529936516635872,0.0010787886345361819,0.001056132405997319,0.00037861984766807767
 g__Dietzia,0.0015077878549289,0.00025857327509259996,0.0011021032699667,0.0009561547999960708,0.000639092923068822
 g__Parvimonas,0.0014890982865514806,0.0005410840295652363,0.0008902695075235363,0.0009734839412133276,0.0005309681164463583
 g__Arthrobacter_D,0.0010054942922942981,0.0014950364524442335,0.0003222895987176836,0.0009409401144854384,0.0004979911328758857
 g__Clostridioides_A,0.0007419665704024,0.0014562132986735,0.0005715771501835,0.0009232523397531001,0.0003992855397974
 g__Flavobacterium,0.0012234042088241181,0.00038151491139951793,0.0009569926588345158,0.0008539705930193257,0.0006423296803654959
 g__Mediterraneibacter_A_155507,0.0004691357760098012,0.0007642857169048377,0.0012757018991650315,0.0008363744640265028,0.0005377930968967847
 g__Evtepia,0.0009742351322777,0.0013024666963492,0.0,0.0007589006095423,0.0005531013115671
 g__Acetobacter,0.0005369840197206,0.0004697566348149,0.0013558371008074001,0.0007875259184476,0.0004183531099856
 g__Kingella_B_563201,0.0006966131833734,0.0009792516917017,0.0007216876568785,0.0007991841773179,0.00034042331230679996
 g__Pontibacter,0.0008038765789011,0.0009562262311614,0.0006038658439015,0.0007879895513213,0.0003434992466245
 g__Enterococcus_C,0.0010177250098965,0.0004310707360677,0.000891711060108,0.0007801689353574,0.0002521534499014
 g__Roseburia_A_166204,0.0011580024644577069,0.00044029841206752674,0.0005408429351504086,0.0007130479372251696,0.0004933255026787511
 g__Segetibacter,0.0007612985264743,0.0007456177406295,0.00068906821087,0.0007319948259913,0.0003857472403941
 g__Kineococcus,0.0007333450642121,0.0001743894897151,0.0011528366672323,0.0006868570737199,0.00041173684727601454
 g__Friedmanniella,0.0005454237041963999,0.0007361679117248001,0.0007827385942681,0.0006881100700631,0.0003890733143398
 g__Selenomonas_A_42762,0.0011648125819075,0.0005779525069811,0.0003459198964157,0.0006962283284348,0.0003446139724806
 g__Pleomorphomonas,0.0,0.0007589505269492,0.001195692460877,0.0006515476626087,0.0005103463058279
 g__Streptomyces_400150,0.0009112671115249,8.501422539756682e-05,0.0010038809248979,0.0006667207539401,0.0004241123443665
 g__Weissella,0.0006332582629907731,0.0004495913037225947,0.0009505334170309298,0.0006777943279146626,0.00036686413054435327
 g__Kerstersia,0.0004077020990868,0.0006046073954448,0.0010083829922284,0.0006735641622534,0.0003231871981893
 g__Alistipes_A_871400,0.0006190006845614,0.0011666905676149999,0.0,0.0005952304173921,0.0004898754258362
 g__Modestobacter,0.000814928587806,0.0,0.0009832273579004,0.0005993853152354,0.0004293624623351
 g__Carnobacterium_A_320743,0.0,0.0006577426826648,0.0010838448988223,0.000580529193829,0.0004458335887745
 g__Metallococcus,0.0008675087790785,2.100368767035433e-05,0.0008486690898546,0.0005790605188678515,0.0004144813503343879
 g__Collinsella,0.0007212726034534,0.0005519901245945,0.0005159257758493,0.0005963961679657,0.00032573738768810004
 g__Devosia_A_502124,0.0008181700880645857,0.00027225909438858225,0.0006565527254392753,0.0005823273026308649,0.0003687588215642416
 g__Anaeroglobus_38550,0.0002749521439490278,0.0007622132725524,0.000752586142453,0.0005965838529848,0.0002938167089047863
 g__Ochrobactrum_A_499027,0.0004309492028447,0.0006843639816376,0.0006740500952366,0.000596454426573,0.0002631335727889359
