Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__Finegoldia,0.007889540381076199,0.0057331276737253,0.0037061332933565,0.0057762671160527,0.0017088483091952874
 g__Friedmanniella,0.0043620877317032776,0.0034303599995230234,0.008479781935663797,0.0054240765556299985,0.002470973430566147
 g__Lactobacillus,0.00693264208867494,0.003806238538085037,0.005078392570862891,0.0052724243992077376,0.002647964449064726
 g__Porphyromonas_A,0.005998730050293989,0.0025208808075408134,0.006865194883242145,0.0051282685803590205,0.0022283511991416953
 g__Leptotrichia_A_993758,0.004130706190453183,0.0064317199736554295,0.004590362523017552,0.005050929562375494,0.0024823854567653544
 g__Methanobrevibacter_A,0.0070776084376361,0.004080516511964599,0.0046012247312801,0.005253116560293666,0.0013874488940351971
 g__Exiguobacterium_A,0.0057228777959994,0.0028002991275217852,0.005596584145063414,0.0047065870228616335,0.002667622396901574
 g__Chishuiella,0.005261050333208,0.0051222705848034,0.00525011575715,0.0052111455583872,0.0006416986927366
 g__Shewanella,0.005297070000890599,0.0034523776384975,0.006208921569871,0.004986123069753099,0.0012049141800927
 g__Chryseobacterium_A_796612,0.0045984770592531,0.005932108010634,0.0045053672157839,0.0050119840952237,0.0010425013094443702
 g__Gemmiger_A_73129,0.008199511492501081,0.0018196808156499557,0.0032356252682764256,0.004418272525475919,0.0028626570268185745
 g__Telluria_573210,0.003919252859536622,0.004499103947947005,0.005855557989919474,0.004757971599134403,0.0011686801076453521
 g__Bacteroides_H_857956,0.004103226930268473,0.005512585424465912,0.002669641599216255,0.004095151317983396,0.0022617380339194143
 g__Clostridium_T,0.0053077256487074,0.0037815573039808406,0.0029519922938880047,0.0040137584155254605,0.0020897471107210693
 g__Brevundimonas,0.004489779430990905,0.0043565775646808,0.0032342263750893847,0.004026861123587008,0.001770055485656671
 g__Pauljensenia,0.0033732042447041084,0.004431521518839381,0.0044994404156789,0.00410138872640749,0.001183434828933432
 g__Hymenobacter_910554,0.001588400415992956,0.004658405359381612,0.005181344171079558,0.0038093833154847377,0.0017278451995908382
 g__Paraclostridium,0.005374062167054429,0.0015904598795915001,0.0039619149507264,0.0036421456657908004,0.0017908193882698001
 g__Leuconostoc_B,0.004202793463281621,0.0025815307481130293,0.003979908377870101,0.0035880775297551385,0.0015209551489018922
 g__Acidipropionibacterium,0.0038501987591765003,0.0045686571859861,0.002478167842895,0.0036323412626859,0.0009056012957475001
 g__F0422,0.0053429014672925,0.0027735426816131,0.0022466722519311,0.0034543721336123,0.0015912919807847
 g__Mediterraneibacter_A_155507,0.0042461954006032,0.002839887800245514,0.003628244621585303,0.0035714426074780745,0.0010404319783573772
 g__Haemophilus_D_735815,0.003808750821941541,0.0030855558770064313,0.0033021074550998834,0.0033988047180159853,0.0007955533078333969
 g__Rothia,0.003921231877165745,0.0019355964340131745,0.003883719385912295,0.003246849232363618,0.0012650264034496498
 g__Weissella,0.003927999391998328,0.0027142299106856,0.0034414082421620282,0.0033612125149486676,0.0006357682076500108
 g__Peptoniphilus_A,0.003386444022089695,0.0024578993806804203,0.004018489135640161,0.003287610846136734,0.000720705431508282
 g__Phocaeicola_A,0.0033893791305226,0.004326233417186,0.0015423566151223462,0.0030859897209437,0.0014644641806120001
 g__Gemella,0.0031842135228383997,0.0041926917159575,0.0020677023809937,0.0031482025399299,0.0010948494620930998
 g__Dialister_37762,0.00325419986133246,0.003222669993298545,0.002699943245171674,0.003058937699934148,0.0011888043865099364
 g__Rhodoferax_C,0.0039930985124109735,0.0016193971039634334,0.0025822497476824,0.002731581788018958,0.0017372054509939892
 g__Alloprevotella,0.0021226755192937014,0.0017198423516317245,0.003945878446664847,0.0025961321058634488,0.0015412204562604067
 g__Citricoccus_384863,0.002739764510371,0.0014427255869329,0.0037708787584488004,0.0026511229519176,0.0011077924661607001
 g__Dorea_A,0.0023306889843918,0.0032740690003598,0.0022630237737071,0.0026225939194863,0.0010291501939576
 g__Sphingobacterium,0.0021370893029803413,0.0025225712358655774,0.002889112016733315,0.0025162575185262745,0.0012535490784599665
 g__Deserticella,0.0027675704102843998,0.0035438221601038003,0.0015184751269948001,0.0026099558991277,0.0008756049459058
 g__Capnocytophaga,0.002315170374757766,0.002240337157072987,0.002856637393908683,0.0024707149752462433,0.0012456251560094627
 g__Bosea,0.0025294934182757862,0.0029549863837159,0.0015180535354720856,0.0023341777791546126,0.0009174568517185102
 g__Roseburia_A_166204,0.0012955413652748489,0.0029455184199917326,0.0026404757680362255,0.002293845184434302,0.0010336560357531528
 g__Alistipes_A_871400,0.0031254985822374787,0.0005123362239722,0.0028210435215756,0.0021529594425950594,0.0013168604948857233
 g__Enterococcus_C,0.0015194142547091,0.0009627226819145,0.0039367758949047,0.0021396376105093998,0.0013158087202446954
 g__Lactococcus_A_346120,0.002281859118899,0.0026904524431829,0.0020709720505657,0.0023477612042158,0.0003424973031645772
 g__Oligella,0.0028128513338613,0.0005730109551331,0.0030361284441321,0.0021406635777088,0.0011122392505794
 g__Agathobacter_164117,0.0026911660817385,0.0020388620168602,0.0021366721386801998,0.0022889000790930064,0.0004255967910864964
 g__Collinsella,0.0016802234266312,0.0018092129297111,0.0031178201592516,0.0022024188385314,0.0006576497282905
 g__Anaerostipes,0.0019420446398410072,0.0019523000839631228,0.0028440291207260837,0.002246124614843412,0.00046237319400089697
 g__Vescimonas,0.0015541685672993,0.0023475372348958,0.0023563953268801,0.0020860337096918,0.0009918531642326
 g__Roseomonas_507234,0.0011331513384334,0.0034284751792875,0.0014106052363307,0.0019907439180172,0.0011605569371225747
 g__Pseudomonas_B_650453,0.0017209249692183848,0.0018452814901591,0.0027142991102067,0.002093501856528,0.0007273252335943375
 g__Flavobacterium,0.002021223741332182,0.0022158265764934365,0.0014446040389099533,0.0018938847855785054,0.0013618112167541837
 g__Bariatricus,0.0028370293101303,0.0018694402320438403,0.0010040415031307,0.0019035036817683,0.0010672071199880999
 g__Microbacterium_A_383321,0.0025315077560571,0.0022057094472196998,0.0011879420291843,0.0019750530774869,0.0007709680278829
 g__Fusobacterium_C,0.0015629982946630157,0.0018365483911567083,0.0024839095307198633,0.001961152072179784,0.0007164944508438655
 g__Jeotgalicoccus_A_310962,0.0023803262161457067,0.0014201858160420744,0.0019650641364167584,0.001921858722868141,0.0007172509621152073
 g__Ruminococcus_E,0.0015518428489569001,0.0020687473103287,0.0022700640621694,0.0019635514071517,0.0004443852426185
 g__Aggregatibacter_736122,0.0011692219351926,0.0028108782114881705,0.0016419089499264154,0.0018740030322022619,0.0008008596976739544
 g__Fenollaria,0.0018085714502028,0.0021895381306152,0.001451845644013,0.0018166517416103,0.0005614836829977194
 g__Comamonas_F_589250,0.0013265516004647864,0.0016749103282099,0.0021409756575336775,0.0017141458620695544,0.0008346207510980689
 g__Mucilaginibacter_A,0.0014621610900910945,0.001980999079385704,0.0016765797676397446,0.001706579979038791,0.0008640988774665608
 g__Hylemonella,0.0027280373810525016,0.0019040163593324274,0.0003956066750158,0.001675886805133643,0.0009839369825532553
 g__Pontibacter,0.0019537855192705003,0.0024518897637895,0.0005636199038107395,0.0016564317289569,0.0008071419745616
 g__Dolosigranulum,0.0013453033739968,0.0011055958097749,0.0025246653137188,0.0016585214991635,0.0006774875046646
 g__Arthrobacter_D,0.0011844284583712999,0.0017334957793935998,0.0018960632066296569,0.0016046624814648,0.0004336417001734
