Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__Pleomorphomonas,0.002319856727970035,0.0024763435849553973,0.00047904060114277035,0.0017584136380226776,0.0010360711095133964
 g__Flavobacterium,0.0016578351613031547,0.0020421020121074757,0.0011516586719371275,0.0016171986151159111,0.0011880052073885985
 g__Terrisporobacter,0.0018019403835843998,0.0012447423897215,0.0020832431039614,0.0017099752924224,0.0007847754868098
 g__Sphingobium_A_485959,0.0009083054798105,0.0004742968772442316,0.0033180617990019616,0.0015668880520188853,0.001308802539304978
 g__Bosea,0.001075400728264545,0.0015908034004967386,0.0023025180834312818,0.0016562407373974944,0.0005871277758882089
 g__Deserticella,0.0015644997579531,0.0014206690882835001,0.0019186295362456003,0.0016345994608274001,0.00043101356151641215
 g__Oliverpabstia,0.001446329830085487,0.0021772920108679,0.0011637583136339,0.0015957933848624,0.0005427814481104
 g__Rhodoferax_C,0.0016054886593811336,0.0003058342079141537,0.0021700419788493,0.0013604549487147444,0.0009119644139753256
 g__Microsaccharimonas,0.0026504599262124,0.0009371935311366,0.00045389357009949997,0.0013471823424828,0.0009469356702603
 g__Comamonas_F_589250,0.0007990246660122306,0.0012974108890987505,0.0018646654262115996,0.001320366993774166,0.0007399526125653317
 g__Dietzia,0.0014954723229325295,0.0010844324658721906,0.0014228341599922827,0.0013342463162655,0.0004242407176782062
 g__Vescimonas,0.0013156777558626402,0.0014262078350164961,0.0009982888202668568,0.0012467248037153,0.0007210962035868144
 g__Ruminococcus_E,0.0012748853312382,0.0011736724451304,0.0013195101935223,0.0012560226566303,0.0006646653970783
 g__Pseudomonas_B_650453,0.0016950751782393554,0.0006386705064999,0.001471428512744688,0.00126839139916129,0.0005790212015190672
 g__Fenollaria,0.0014385044221204,0.0009141142777000476,0.0015825817404195998,0.0013117334800799999,0.0004028241969116058
 g__Mycobacterium,0.0009596787879893439,0.0010816704625683,0.0014394329822813128,0.0011602607442795453,0.0008354719379343482
 g__Anaerobutyricum,0.0015592204024686,0.0015545225818276,0.0005727899252165,0.0012288443031709,0.0005181564245990806
 g__Methylobacterium,0.0002661616500507,0.0018176188004854,0.0014486052460057,0.0011774618988472,0.0006722425862569
 g__Mucilaginibacter_A,0.0014642224411119916,0.0009079054624839572,0.0010609836316919535,0.0011443705117624803,0.0005204275436887438
 g__Lancefieldella,0.0018525005488665277,0.0005041434953675014,0.0009436607288022059,0.0011001015910120117,0.0005866456004396671
 g__Oligella,0.0014461529025793,0.0011873457530802,0.0009305157834622,0.0011880048130406,0.0002105084882261
 g__Parasphingorhabdus,0.0013870840672724,0.0014177106140128,0.0004791104415451162,0.0010946350409434,0.0004444061923027983
 g__Devosia_A_502124,0.0009702113653525336,0.0006321174999519634,0.0014265622982218796,0.0010096303878420565,0.0005124993128179851
 g__Arthrobacter_D,0.0008651385467309,0.0009174604511019,0.0012370879396317,0.0010065623124882002,0.00048778848571979995
 g__Pontibacter,0.0010488167220672,0.0007273198138878999,0.0013236359413979,0.001033257492451,0.0003486522271588
 g__Hylemonella,0.0011488488166954,0.0013381426283801,0.00045402194344360295,0.0009803377961729999,0.0004536293477828
 g__Enterococcus_C,0.0007678935519976503,0.0003274855775906,0.0016924910506580422,0.0009292900600821309,0.0005708980104800305
 g__Sphingomicrobium_483192,0.0007103075206967256,0.0014297796914839,0.000773548208302,0.0009712118068274999,0.0003367767254162102
 g__Enterocloster,0.0010357712656804286,0.0008287726839403515,0.0010221886186933212,0.0009622441894381594,0.0003657038771599004
