#sample-id	Env	SourceSink	id
900557	Ca-042-AM_skin	Sink	157
900414	Ca-129-AJ_skin	Sink	158
900130	Ca-035-AR_skin	Sink	159
900404	Ca-126-KB_nasal	Source	1
900133	Ca-036-TK_skin	Sink	160
900406	Ca-127-OM_skin	Sink	161
900147	Ca-037-HM_skin	Sink	162
900409	Ca-128-SN_skin	Sink	163
900558	Ca-042-AM_skin	Sink	164
900415	Ca-129-AJ_skin	Sink	165
900131	Ca-035-AR_nasal	Source	1
900134	Ca-036-TK_nasal	Source	1
900407	Ca-127-OM_nasal	Source	1
900149	Ca-037-HM_nasal	Source	1
900410	Ca-128-SN_nasal	Source	1
900559	Ca-042-AM_nasal	Source	1
900416	Ca-129-AJ_nasal	Source	1
900617	Co-044-KM_skin	Sink	166
900321	Co-125-MM_skin	Sink	167
900615	Co-045-OM_skin	Sink	168
900323	Co-126-ID_skin	Sink	169
900619	Co-046-KL_skin	Sink	170
900325	Co-127-MB_skin	Sink	171
900627	Co-047-LV_skin	Sink	172
900327	Co-128-IV_skin	Sink	173
900618	Co-044-KM_nasal	Source	1
900322	Co-125-MM_nasal	Source	1
900616	Co-045-OM_nasal	Source	1
900324	Co-126-ID_nasal	Source	1
900620	Co-046-KL_nasal	Source	1
900326	Co-127-MB_nasal	Source	1
900628	Co-047-LV_nasal	Source	1
900328a	Co-128-IV_nasal	Source	1
900411	Ca-130-PM_skin	Sink	174
900554	Ca-043-SS_skin	Sink	175
900417	Ca-131-PM_skin	Sink	176
900578	Ca-045-HN_skin	Sink	177
900420	Ca-132-LD_skin	Sink	178
900569	Ca-046-MT_skin	Sink	179
900423	Ca-133-LT_skin	Sink	180
900572	Ca-047-MD_skin	Sink	181
900412	Ca-130-PM_skin	Sink	182
900555	Ca-043-SS_skin	Sink	183
900418	Ca-131-PM_skin	Sink	184
900579	Ca-045-HN_skin	Sink	185
900421	Ca-132-LD_skin	Sink	186
900570	Ca-046-MT_skin	Sink	187
900424	Ca-133-LT_skin	Sink	188
900573	Ca-047-MD_skin	Sink	189
900413	Ca-130-PM_nasal	Source	1
900556	Ca-043-SS_nasal	Source	1
900419	Ca-131-PM_nasal	Source	1
900580	Ca-045-HN_nasal	Source	1
900422	Ca-132-LD_nasal	Source	1
900571	Ca-046-MT_nasal	Source	1
900425	Ca-133-LT_nasal	Source	1
900574	Ca-047-MD_nasal	Source	1
900343	Co-129-IS_skin	Sink	190
900631	Co-049-LJ_skin	Sink	191
900344	Co-130-MM_skin	Sink	192
900633	Co-050-AH_skin	Sink	193
900346	Co-131-AM_skin	Sink	194
900150	Co-016-CB_skin	Sink	195
900348	Co-132-IM_skin	Sink	196
900360	Co-137-AM_skin	Sink	197
900352	Co-134-KK_skin	Sink	198
900632	Co-049-LJ_nasal	Source	1
900345	Co-130-MM_nasal	Source	1
900634	Co-050-AH_nasal	Source	1
900347	Co-131-AM_nasal	Source	1
900349	Co-132-IM_nasal	Source	1
900361	Co-137-AM_nasal	Source	1
900353	Co-134-KK_nasal	Source	1
900105	Ca-028-PN_skin	Sink	199
900106	Ca-028-PN_nasal	Source	1
900390	Co-152-AF_skin	Sink	200
900426	Ca-134-IT_skin	Sink	201
900575	Ca-048-LN_skin	Sink	202
900429	Ca-135-NS_skin	Sink	203
900581	Ca-049-LM_skin	Sink	204
900431	Ca-136-OM_skin	Sink	205
900587	Ca-050-MM_skin	Sink	206
900436	Ca-137-TM_skin	Sink	207
900584	Ca-051-AM_skin	Sink	208
900427	Ca-134-IT_skin	Sink	209
900576	Ca-048-LN_skin	Sink	210
900430	Ca-135-NS_nasal	Source	1
900582	Ca-049-LM_skin	Sink	211
900432	Ca-136-OM_nasal	Source	1
900588	Ca-050-MM_skin	Sink	212
900437	Ca-137-TM_skin	Sink	213
900585	Ca-051-AM_skin	Sink	214
900428	Ca-134-IT_nasal	Source	1
900577	Ca-047-MD_nasal	Source	1
900491	Ca-155-LS_skin	Sink	215
900583	Ca-049-LM_nasal	Source	1
900589	Ca-050-MM_nasal	Source	1
900438	Ca-137-TM_nasal	Source	1
900586	Ca-051-AM_nasal	Source	1
900374	Co-144-LM_skin	Sink	216
900492	Ca-155-LS_skin	Sink	217
900376	Co-145-HN_skin	Sink	218
900356	Co-135-LT_skin	Sink	219
900358	Co-136-SM_skin	Sink	220
900375	Co-144-LM_nasal	Source	1
900493	Ca-155-LS_nasal	Source	1
900377	Co-145-HN_nasal	Source	1
900357	Co-135-LT_nasal	Source	1
900359	Co-136-SM_nasal	Source	1
900590	Ca-052-LM_skin	Sink	221
900433	Ca-138-SM_skin	Sink	222
900593	Ca-053-NN_skin	Sink	223
900439	Ca-139-OS_skin	Sink	224
900610	Ca-054-RN_skin	Sink	225
900442	Ca-140-EM_skin	Sink	226
900621	Ca-055-LN_skin	Sink	227
900445	Ca-141-TC_skin	Sink	228
900591	Ca-052-LM_skin	Sink	229
900434	Ca-138-SM_skin	Sink	230
900594	Ca-053-NN_skin	Sink	231
900440	Ca-139-OS_skin	Sink	232
900611	Ca-054-RN_skin	Sink	233
900443	Ca-140-EM_skin	Sink	234
900622	Ca-055-LN_skin	Sink	235
900446	Ca-141-TC_skin	Sink	236
900592	Ca-052-LM_nasal	Source	1
900435	Ca-138-SM_nasal	Source	1
900595	Ca-053-NN_nasal	Source	1
900441	Ca-139-OS_nasal	Source	1
900612	Ca-054-RN_nasal	Source	1
900444	Ca-140-EM_nasal	Source	1
900623	Ca-055-LN_nasal	Source	1
900447	Ca-141-TC_nasal	Source	1
900370	Co-142-IP_skin	Sink	237
900372	Co-143-AN_skin	Sink	238
900480	Ca-152-HN_skin	Sink	239
900363	Co-139-MP_nasal	Source	1
900369	Co-141-IG_nasal	Source	1
900371	Co-142-IP_nasal	Source	1
900373	Co-143-AN_nasal	Source	1
900481	Co-146-LK_nasal	Source	1
900366	Co-140-IM_skin	Sink	240
900367	Co-140-IM_nasal	Source	1
900448	Ca-142-AM_skin	Sink	241
900624	Ca-056-DH_skin	Sink	242
